Driveways,Time,The Truth,Swallow,Residue,Straight Up,My Dog Stupid,Crip Camp,The 24th,River CIty Drumbeat,,,,,,,,,,
Small Axe,Nomadland,First Cow,Promising Young Woman,About Endlessness,Shirley,Never Rarely Sometimes Always,Time,I'm Thinking of Ending Things,Rocks,,,,,,,,,,
Vitalina Varela,Time,Nomadland,First Cow,Martin Eden,I'm Thinking of Ending Things,City Hall,Collective,Never Rarely Sometimes Always,Beanpole,,,,,,,,,,
Never Rarely Sometimes Always,First Cow,Da 5 Bloods,Time,Lovers Rock,I'm Thinking of Ending Things,Promising Young Woman,She Dies Tomorrow,Palm Springs,The Trial of the Chicago 7,,,,,,,,,,
Circle Jerk,David Byrne's American Utopia,Dry Wind,Shirley,I'm Thinking of Ending Things,Possessor Uncut,Time,Keep Your Hands Off Eizouken!,Ride Your Wave,Driveways,,,,,,,,,,
Martin Eden,Nomadland,I'm Thinking of Ending Things,Kajillionaire,Mangrove,The Nest,Welcome to Chechnya,The Invisible Man,Dick Johnson Is Dead,Bacurau,,,,,,,,,,
Dick Johnson Is Dead,The Assistant,First Cow,Lovers Rock,Nomadland,Bacurau,"Bloody Nose, Empty Pockets",I'm Thinking of Ending Things,Beanpole,The Nest,,,,,,,,,,
Nomadland,Soul,Borat Subsequent Moviefilm,The Kid Detective,Minari,First Cow,Never Rarely Sometimes Always,Ma Rainey's Black Bottom,Da 5 Bloods,Small Axe,,,,,,,,,,
Soul,The Invisible Man,Wonder Woman 1984,I'm Thinking of Ending Things,Onward,Birds of Prey,The Trial of the Chicago 7,Ma Rainey's Black Bottom,Borat Subsequent Moviefilm,The King of Staten Island,,,,,,,,,,
Onward,The Gentlemen,The Forty-Year-Old Version,Ma Rainey's Black Bottom,The Father,Apocalypse '45,Desert One,Balloon,On the Rocks,Crock of Gold,,,,,,,,,,
First Cow,The Trial of the Chicago 7,Time,Nomadland,Promising Young Woman,Ma Rainey's Black Bottom,Soul,"Bloody Nose, Empty Pockets",News of the World,Mank,,,,,,,,,,
Parasite,Babyteeth,End of the Century,The Invisible Man,Dark Waters,Collective,Portrait of a Lady on Fire,Mank,Lynn+Lucy,His House,,,,,,,,,,
Mank,Boys State,The King of Staten Island,The Trial of the Chicago 7,On the Rocks,Da 5 Bloods,Onward,Pieces of a Woman,Palm Springs,The Personal History of David Copperfield,,,,,,,,,,
Promising Young Woman,Nomadland,News of the World,I'm Thinking of Ending Things,The Vast of Night,Host,The Trial of the Chicago 7,Crip Camp,Mucho Mucho Amor,Minari,,,,,,,,,,
Martin Eden,City Hall,Gunda,David Byrne's American Utopia,Bacurau,First Cow,Never Rarely Sometimes Always,Collective,The Forty-Year-Old Version,Beanpole,,,,,,,,,,
Borat Subsequent Moviefilm,City Hall,Collective,First Cow,Martin Eden,The Forty-Year-Old Version,Palm Springs,Bacurau,David Byrne's American Utopia,Lovers Rock,Dick Johnson Is Dead,Soul,,,,,,,,
Kajillionaire,Da 5 Bloods,The Whistlers,Dick Johnson Is Dead,An Easy Girl,Never Rarely Sometimes Always,On the Rocks,Lovers Rock,Time,City Hall,,,,,,,,,,
Nomadland,The Father,Never Rarely Sometimes Always,Sorry We Missed You,First Cow,Welcome to Chechnya,Martin Eden,Mank,On the Rocks,Da 5 Bloods,,,,,,,,,,
Da 5 Bloods,Parasite,Uncut Gems,David Byrne's American Utopia,Tenet,Hamilton,Rocks,Host,Birds of Prey,Saint Maud,,,,,,,,,,
"Bloody Nose, Empty Pockets",She Dies Tomorrow,An Easy Girl,Lovers Rock,Black Bear,The Inheritance,The 40-Year-Old Version,On the Rocks,Cuties,Feels Good Man,,,,,,,,,,
First Cow,Lovers Rock,Residue,Nomadland,Gunda,I'm Thinking of Ending Things,Time,Collective,Rocks,Hamilton,,,,,,,,,,
Nomadland,Minari,Portrait of a Lady on Fire,Collective,Sound of Metal,Never Rarely Sometimes Always,First Cow,David Byrne's American Utopia,"Bloody Nose, Empty Pockets",Dick Johnson Is Dead,,,,,,,,,,
Saint Maud,Portrait of a Lady on Fire,Parasite,Relic,Clemency,Never Rarely Sometimes Always,Rocks,Saint Frances,Wolfwalkers,The Personal History of David Copperfield,,,,,,,,,,
Promising Young Woman,First Cow,Sound of Metal,Wolfwalkers,Saint Frances,One Night in Miami,Nomadland,Small Axe,Bacurau,Never Rarely Sometimes Always,,,,,,,,,,
Ma Rainey's Black Bottom,Nomadland,David Byrne's American Utopia,Relic,Lovers Rock,Promising Young Woman,Wolfwalkers,Never Rarely Sometimes Always,The Trial of the Chicago 7,One Night in Miami,,,,,,,,,,
Nomadland,Sound of Metal,First Cow,Soul,Martin Eden,Wolfwalkers,The Vast of Night,Lovers Rock,His House,Time,,,,,,,,,,
Never Rarely Sometimes Always,Nomadland,Mank,The Assistant,I'm Thinking of Ending Things,Beanpole,Sorry We Missed You,Boys State,Palm Springs,The Painted Bird,,,,,,,,,,
Soul,Palm Springs,Bad Education,Hamilton,News of the World,Ma Rainey's Black Bottom,Black Is King,Tenet,On the Rocks,Da 5 Bloods,,,,,,,,,,
The Forty-Year-Old Version,Da 5 Bloods,Minari,Soul,Never Rarely Sometimes Always,Sound of Metal,Promising Young Woman,Ma Rainey's Black Bottom,I'm Thinking of Ending Things,The Lodge,,,,,,,,,,
Nomadland,First Cow,Never Rarely Sometimes Always,I'm Thinking of Ending Things,David Byrne's American Utopia,Sound of Metal,Da 5 Bloods,Lovers Rock,Dick Johnson Is Dead,Minari,,,,,,,,,,
Days,Martin Eden,Time,"I Was at Home, But …",Bacurau,Vitalina Varela,Never Rarely Sometimes Always,Lovers Rock,First Cow,Malmkrog,To the Ends of the Earth,,,,,,,,,
Lovers Rock,Mangrove,Mank,First Cow,Boys State,I'm Thinking of Ending Things,The Vast of Night,Time,Nomadland,Vitalina Varela,Soul,,,,,,,,,
Son of the White Mare,Vitalina Varela,I Wish I Knew,The Wild Goose Lake,Time,On the Rocks,"I Was at Home, But …",Jallikattu,The Twentieth Century,The 11th Green,,,,,,,,,,
Wolfwalkers,Nomadland,Minari,A Sun,I'm No Longer Here,The Climb,I Carry You With Me,The Wolf House,Sound of Metal,Los Lobos,,,,,,,,,,
