The Shape of Water,Lady Bird,Faces Places,Blade Runner 2049,Darkest Hour,Loveless,Dunkirk,First They Killed My Father,The Florida Project,The Big Sick,,,
Nocturama,Good Time,Personal Shopper,Phantom Thread,The Lost City of Z,Get Out,The Florida Project,Song to Song,Call Me by Your Name,Marjorie Prime,,,
Paradise,The Untamed,A Quiet Passion,Happy End,Planetarium,The Ornithologist,The Square,A Woman's Life,BPM (Beats Per Minute),The Florida Project,,,
Moonlight,My Life as a Zucchini,God's Own Country,The Florida Project,It Comes at Night,Aquarius,Dunkirk,Lady Macbeth,Jackie,Get Out,,,
Dunkirk,Brawl in Cell Block 99,Call Me by Your Name,The Shape of Water,"Three Billboards Outside Ebbing, Missouri",Lady Bird,Baby Driver,The Lost City of Z,Good Time,Wind River,,,
Wind River,"Three Billboards Outside Ebbing, Missouri",Get Out,Dunkirk,The Shape of Water,Baby Driver,Thor: Ragnarok,Logan,Logan Lucky,Brigsby Bear,,,
Colossal,A Ghost Story,mother!,"I, Tonya",Atomic Blonde,Hounds of Love,Columbus,Get Out,Split,The LEGO Batman Movie,,,
"Three Billboards Outside Ebbing, Missouri",Baby Driver,Dunkirk,Darkest Hour,The Florida Project,Get Out,Lucky,Coco,Wind River,Lady Bird,,,
Call Me by Your Name,Phantom Thread,The Florida Project,Lady Bird,The Levelling,Logan Lucky,The Shape of Water,Paddington 2,Get Out,Good Time,,,
Get Out,A Quiet Passion,Faces Places,Last Men in Aleppo,The Florida Project,Blade Runner 2049,The Shape of Water,Columbus,Dunkirk,"I, Tonya",Lady Bird,The Disaster Artist,Professor Marston and the Wonder Women
Call Me by Your Name,The Florida Project,Phantom Thread,mother!,EX LIBRIS – The New York Public Library,Columbus,A Quiet Passion,Brawl in Cell Block 99,Lady Bird,Graduation,,,
Mudbound,The Shape of Water,The Florida Project,Phantom Thread,The Meyerowitz Stories (New and Selected),Lady Bird,Okja,Get Out,The Disaster Artist,The Square,,,
The Shape of Water,Call Me by Your Name,Get Out,Lady Macbeth,Lady Bird,Guardians of the Galaxy Vol. 2,Raw,Alien: Covenant,The Big Sick,xXx: Return of Xander Cage,,,
"Three Billboards Outside Ebbing, Missouri",Wind River,Columbus,Good Time,Raw,Patti Cake$,Phantom Thread,The Florida Project,Blade Runner 2049,Logan Lucky,,,
Get Out,Moonlight,Dunkirk,Blade Runner 2049,La La Land,It,Wonder Woman,Star Wars: The Last Jedi,Hidden Figures,Baby Driver,,,
